127.0.0.1 - - [17/Nov/2015:15:33:09 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:33:20 -0800] "GET /QuizWebsite/ HTTP/1.1" 200 362
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:33:22 -0800] "GET /QuizWebsite/main.css HTTP/1.1" 200 253
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:34:22 -0800] "GET /QuizWebsite/ HTTP/1.1" 200 362
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:34:24 -0800] "GET /QuizWebsite/ HTTP/1.1" 200 362
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:34:24 -0800] "GET /QuizWebsite/main.css HTTP/1.1" 200 265
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:37:31 -0800] "GET /QuizWebsite/ HTTP/1.1" 200 362
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:37:31 -0800] "GET /QuizWebsite/main.css HTTP/1.1" 200 265
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:37:34 -0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:48:18 -0800] "GET /QuizWebsite/ HTTP/1.1" 200 810
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:48:18 -0800] "GET /QuizWebsite/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:49:23 -0800] "GET /QuizWebsite/ HTTP/1.1" 200 810
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:15:49:23 -0800] "GET /QuizWebsite/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:16:13:44 -0800] "GET /QuizWebsite/ HTTP/1.1" 200 848
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:16:13:45 -0800] "GET /QuizWebsite/main.css HTTP/1.1" 200 346
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:16:14:08 -0800] "GET /QuizWebsite/ HTTP/1.1" 200 848
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:16:14:08 -0800] "GET /QuizWebsite/main.css HTTP/1.1" 200 346
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:16:14:36 -0800] "GET /QuizWebsite/ HTTP/1.1" 200 848
0:0:0:0:0:0:0:1%0 - - [17/Nov/2015:16:14:36 -0800] "GET /QuizWebsite/main.css HTTP/1.1" 304 -
